Impact,Region,SSP,2020,2030,2040,2050
GHG [GtonCO2_eq],Central Latin America,SSP3,0.263289894,0.437800308,0.613724761,0.821371263
GHG [GtonCO2_eq],Central Latin America,SSP4,0.257778691,0.442090958,0.655084224,0.973219192
GHG [GtonCO2_eq],Central Latin America,SSP5,0.287640824,0.577672309,1.025620737,1.18687242
GHG [GtonCO2_eq],East Asia,SSP1,0.283876918,0.556743543,0.953195459,1.144808507
GHG [GtonCO2_eq],East Asia,SSP2,0.271644262,0.47186317,0.833699301,1.233521166
GHG [GtonCO2_eq],East Asia,SSP3,0.2610914,0.434060948,0.607128415,0.810447292
GHG [GtonCO2_eq],East Asia,SSP4,0.25559199,0.438344995,0.648232187,0.96059637
GHG [GtonCO2_eq],East Asia,SSP5,0.285486247,0.572033399,0.997790879,1.155198197
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,0.282092328,0.553355175,0.977718335,1.162750282
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,0.266581829,0.46700138,0.819351764,1.230116017
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,0.253548095,0.425015187,0.584976925,0.760958148
GHG [GtonCO2_eq],North Africa and Middle East,SSP4,0.24792692,0.430820756,0.626129641,0.905877869
GHG [GtonCO2_eq],North Africa and Middle East,SSP5,0.283976,0.570378675,1.034532721,1.173757597
GHG [GtonCO2_eq],Median,SSP1,0.285430693,0.564289348,0.99007282,1.194067407
GHG [GtonCO2_eq],Median,SSP2,0.272780454,0.476995834,0.84995457,1.27912374
GHG [GtonCO2_eq],Median,SSP3,0.262281385,0.43648943,0.613546561,0.820955767
GHG [GtonCO2_eq],Median,SSP4,0.256739565,0.441588115,0.655977132,0.9756616
GHG [GtonCO2_eq],Median,SSP5,0.287254012,0.580455858,1.04089708,1.199402728
Eutrop. [MtonPO4_eq],Central Europe,SSP1,2.486123997,3.880156251,6.693939751,8.653107469
Eutrop. [MtonPO4_eq],Central Europe,SSP2,2.48328423,3.501758571,5.596333878,8.46338752
Eutrop. [MtonPO4_eq],Central Europe,SSP3,2.506663118,3.578227275,4.623110892,5.698258117
Eutrop. [MtonPO4_eq],Central Europe,SSP4,2.488673185,3.577048811,4.698502758,6.367892405
