"Year","Reference_country_Scenario","SSP_Scenario","Type","Total_kg","total_Kt"
2040,"VN","SSP2","mutton",2695693198.06728,2695.69319806728
2045,"VN","SSP2","mutton",2955206219.336,2955.206219336
2050,"VN","SSP2","mutton",3219365662.48524,3219.36566248524
2010,"CH","SSP1","beef",3844727539.90372,3844.72753990372
2011,"CH","SSP1","beef",4506421882.3274,4506.4218823274
2012,"CH","SSP1","beef",5121814406.45224,5121.81440645224
2013,"CH","SSP1","beef",5696558456.54251,5696.55845654251
2015,"CH","SSP1","beef",6744485630.01154,6744.48563001154
2020,"CH","SSP1","beef",8965204984.83992,8965.20498483992
2025,"CH","SSP1","beef",10902497011.2017,10902.4970112017
2030,"CH","SSP1","beef",12727395605.1084,12727.3956051084
2035,"CH","SSP1","beef",14420993496.1387,14420.9934961387
2040,"CH","SSP1","beef",15809078591.8073,15809.0785918073
2045,"CH","SSP1","beef",16596770321.933,16596.770321933
2050,"CH","SSP1","beef",16403155983.0075,16403.1559830075
2010,"BR","SSP1","beef",2255646913.96039,2255.64691396039
2011,"BR","SSP1","beef",4567365830.62005,4567.36583062005
2012,"BR","SSP1","beef",6706822578.47429,6706.82257847429
2013,"BR","SSP1","beef",8694276936.26849,8694.27693626849
2015,"BR","SSP1","beef",12287669500.8398,12287.6695008398
2020,"BR","SSP1","beef",19783523128.0605,19783.5231280605
2025,"BR","SSP1","beef",26356777952.5418,26356.7779525418
2030,"BR","SSP1","beef",32949466872.2016,32949.4668722017
2035,"BR","SSP1","beef",39926300088.787,39926.300088787
2040,"BR","SSP1","beef",47168879670.7043,47168.8796707043
2045,"BR","SSP1","beef",54169914115.8496,54169.9141158496
2050,"BR","SSP1","beef",60127432914.4384,60127.4329144384
2010,"EG","SSP1","beef",3741576528.89982,3741.57652889982
2011,"EG","SSP1","beef",4505546893.26743,4505.54689326743
2012,"EG","SSP1","beef",5219382785.03973,5219.38278503973
2013,"EG","SSP1","beef",5889100491.18247,5889.10049118247
2015,"EG","SSP1","beef",7118295886.49854,7118.29588649853
2020,"EG","SSP1","beef",9767139114.82989,9767.13911482989
2025,"EG","SSP1","beef",12166363960.8766,12166.3639608766
2030,"EG","SSP1","beef",14594075371.7078,14594.0753717078
2035,"EG","SSP1","beef",17156221130.9988,17156.2211309988
2040,"EG","SSP1","beef",19814587495.5512,19814.5874955512
2045,"EG","SSP1","beef",22414794831.8132,22414.7948318132
2050,"EG","SSP1","beef",24714293252.3993,24714.2932523993
2010,"VN","SSP1","beef",4412612972.78563,4412.61297278563
2011,"VN","SSP1","beef",4413250906.42272,4413.25090642272
2012,"VN","SSP1","beef",4476791903.19902,4476.79190319902
2013,"VN","SSP1","beef",4595021543.99878,4595.02154399878
2015,"VN","SSP1","beef",4970259273.33679,4970.25927333679
2020,"VN","SSP1","beef",6572309486.39977,6572.30948639977
2025,"VN","SSP1","beef",9232105645.90107,9232.10564590107
2030,"VN","SSP1","beef",13687835739.5641,13687.8357395641
2035,"VN","SSP1","beef",21260592643.2334,21260.5926432334
2040,"VN","SSP1","beef",33712433055.1983,33712.4330551983
2045,"VN","SSP1","beef",53104436430.5171,53104.4364305171
2050,"VN","SSP1","beef",81654763915.3416,81654.7639153416
2010,"CH","SSP1","pork",1.615,1.615e-06
2011,"CH","SSP1","pork",1408643069.81195,1408.64306981195
2012,"CH","SSP1","pork",4978877344.46686,4978.87734446686
2013,"CH","SSP1","pork",8253608743.44089,8253.60874344089
2015,"CH","SSP1","pork",14059177747.5954,14059.1777475954
2020,"CH","SSP1","pork",25590120208.1087,25590.1202081087
2025,"CH","SSP1","pork",34884424254.2798,34884.4242542798
2030,"CH","SSP1","pork",43178288836.6524,43178.2888366524
2035,"CH","SSP1","pork",50395569317.0891,50395.5693170891
2040,"CH","SSP1","pork",55387431305.9477,55387.4313059477
2045,"CH","SSP1","pork",56172004499.2569,56172.0044992569
2050,"CH","SSP1","pork",50174036515.8925,50174.0365158925
2010,"BR","SSP1","pork",690026899.39035,690.02689939035
2011,"BR","SSP1","pork",1239746246.95681,1239.74624695681
2012,"BR","SSP1","pork",1749024516.05745,1749.02451605745
2013,"BR","SSP1","pork",2222421430.48593,2222.42143048593
2015,"BR","SSP1","pork",3078463108.859,3078.463108859
2020,"BR","SSP1","pork",4859217782.8294,4859.2177828294
2025,"BR","SSP1","pork",6412732273.78662,6412.73227378662
2030,"BR","SSP1","pork",7980146768.10336,7980.14676810336
2035,"BR","SSP1","pork",9681935888.02103,9681.93588802103
2040,"BR","SSP1","pork",11536544293.6309,11536.5442936309
2045,"BR","SSP1","pork",13479022284.8551,13479.0222848551
2050,"BR","SSP1","pork",15379661403.428,15379.661403428
2010,"EG","SSP1","pork",1166156381.58596,1166.15638158596
2011,"EG","SSP1","pork",1221380626.57872,1221.38062657872
2012,"EG","SSP1","pork",1273999386.782,1273.999386782
2013,"EG","SSP1","pork",1324183173.49319,1324.18317349319
2015,"EG","SSP1","pork",1417887207.89826,1417.88720789826
2020,"EG","SSP1","pork",1619942825.53187,1619.94282553187
2025,"EG","SSP1","pork",1787910892.52029,1787.91089252029
2030,"EG","SSP1","pork",1933162702.53074,1933.16270253074
2035,"EG","SSP1","pork",2063408698.94969,2063.40869894969
2040,"EG","SSP1","pork",2183253988.96847,2183.25398896847
2045,"EG","SSP1","pork",2294753857.66883,2294.75385766883
2050,"EG","SSP1","pork",2397969282.10851,2397.96928210851
2010,"VN","SSP1","pork",1.615,1.615e-06
2011,"VN","SSP1","pork",1470979483.35351,1470.97948335351
2012,"VN","SSP1","pork",6103426950.2523,6103.4269502523
2013,"VN","SSP1","pork",10347394788.4311,10347.3947884311
2015,"VN","SSP1","pork",17857501401.7755,17857.5014017755
2020,"VN","SSP1","pork",32704284766.6847,32704.2847666847
2025,"VN","SSP1","pork",44558978210.5089,44558.9782105089
2030,"VN","SSP1","pork",54958738615.5573,54958.7386155573
2035,"VN","SSP1","pork",63681696032.2579,63681.6960322579
2040,"VN","SSP1","pork",69071427508.4731,69071.4275084731
2045,"VN","SSP1","pork",68361430918.813,68361.430918813
2050,"VN","SSP1","pork",57999598793.9506,57999.5987939506
2010,"CH","SSP1","poultry",1275007389.50212,1275.00738950212
2011,"CH","SSP1","poultry",2752205657.37661,2752.20565737661
2012,"CH","SSP1","poultry",4111209844.8414,4111.2098448414
2013,"CH","SSP1","poultry",5366033338.03269,5366.03333803269
2015,"CH","SSP1","poultry",7613940342.6925,7613.9403426925
2020,"CH","SSP1","poultry",12194705011.0211,12194.7050110211
2025,"CH","SSP1","poultry",16035286640.679,16035.286640679
2030,"CH","SSP1","poultry",19622663341.4768,19622.6633414768
2035,"CH","SSP1","poultry",22993205634.4591,22993.2056344591
2040,"CH","SSP1","poultry",25813075999.5183,25813.0759995183
2045,"CH","SSP1","poultry",27458628423.0086,27458.6284230086
2050,"CH","SSP1","poultry",27096807945.3602,27096.8079453602
2010,"BR","SSP1","poultry",3.14,3.14e-06
2011,"BR","SSP1","poultry",2768054467.13132,2768.05446713132
2012,"BR","SSP1","poultry",5451774930.9199,5451.7749309199
2013,"BR","SSP1","poultry",7963250485.74727,7963.25048574727
2015,"BR","SSP1","poultry",12553681590.8484,12553.6815908484
2020,"BR","SSP1","poultry",22393847472.9303,22393.8474729303
