"Year","SSP_Scenario","Scenario_region","Population","Type","Total_kg","total_Kt"
2050,"SSP4","Central Latin America",1981120263.91221,"poultry_tot",23332553554.9912,23332.5535549912
2050,"SSP4","East Asia",1981120263.91221,"poultry_tot",17695890525.8988,17695.8905258988
2050,"SSP4","North Africa and Middle East",1981120263.91221,"poultry_tot",19914229862.9178,19914.2298629178
2050,"SSP4","Central Europe",1981120263.91221,"poultry_tot",18479710656.1746,18479.7106561746
2050,"SSP5","East Asia",1464277473.14625,"poultry_tot",23069441099.1907,23069.4410991907
2050,"SSP5","Central Europe",1464277473.14625,"poultry_tot",21565331931.8549,21565.3319318549
2050,"SSP5","Central Latin America",1464277473.14625,"poultry_tot",26791177592.9781,26791.1775929781
2050,"SSP5","North Africa and Middle East",1464277473.14625,"poultry_tot",20657337247.6631,20657.3372476631
2015,"SSP1","Central Europe",900712443.824514,"mutton_tot",2059171684.72288,2059.17168472288
2015,"SSP1","East Asia",900712443.824514,"mutton_tot",1456468202.31993,1456.46820231993
2015,"SSP1","North Africa and Middle East",900712443.824514,"mutton_tot",2381251346.25555,2381.25134625555
2015,"SSP1","Central Latin America",900712443.824514,"mutton_tot",974686473.519692,974.686473519692
2015,"SSP2","North Africa and Middle East",910603596.138927,"mutton_tot",2399026400.52177,2399.02640052177
2015,"SSP2","Central Europe",910603596.138927,"mutton_tot",2061738178.08077,2061.73817808077
2015,"SSP2","Central Latin America",910603596.138927,"mutton_tot",978796712.025285,978.796712025285
2015,"SSP2","East Asia",910603596.138927,"mutton_tot",1457838036.18375,1457.83803618375
2015,"SSP3","North Africa and Middle East",918630017.638777,"mutton_tot",2432343898.29208,2432.34389829208
2015,"SSP3","Central Latin America",918630017.638777,"mutton_tot",996131467.562251,996.131467562251
2015,"SSP3","East Asia",918630017.638777,"mutton_tot",1479074278.37282,1479.07427837282
2015,"SSP3","Central Europe",918630017.638777,"mutton_tot",2088351244.9163,2088.3512449163
2015,"SSP4","Central Latin America",918135325.131269,"mutton_tot",996577444.457685,996.577444457685
2015,"SSP4","East Asia",918135325.131269,"mutton_tot",1482424538.57774,1482.42453857774
2015,"SSP4","North Africa and Middle East",918135325.131269,"mutton_tot",2430839715.33764,2430.83971533764
2015,"SSP4","Central Europe",918135325.131269,"mutton_tot",2087226644.48515,2087.22664448515
2015,"SSP5","East Asia",900141094.224691,"mutton_tot",1455503856.26775,1455.50385626775
2015,"SSP5","Central Europe",900141094.224691,"mutton_tot",2057411817.6927,2057.4118176927
2015,"SSP5","Central Latin America",900141094.224691,"mutton_tot",978002073.683081,978.002073683081
2015,"SSP5","North Africa and Middle East",900141094.224691,"mutton_tot",2383665717.65767,2383.66571765767
2020,"SSP1","Central Europe",996712840.31437,"mutton_tot",2418314986.6526,2418.3149866526
2020,"SSP1","East Asia",996712840.31437,"mutton_tot",1818263437.26567,1818.26343726567
2020,"SSP1","North Africa and Middle East",996712840.31437,"mutton_tot",2722486531.0548,2722.4865310548
2020,"SSP1","Central Latin America",996712840.31437,"mutton_tot",1112862611.61592,1112.86261161592
2020,"SSP2","North Africa and Middle East",1022193524.96734,"mutton_tot",2616837753.97731,2616.83775397732
2020,"SSP2","Central Europe",1022193524.96734,"mutton_tot",2366170281.91603,2366.17028191603
2020,"SSP2","Central Latin America",1022193524.96734,"mutton_tot",1068822744.46121,1068.82274446121
2020,"SSP2","East Asia",1022193524.96734,"mutton_tot",1721789377.14966,1721.78937714966
2020,"SSP3","North Africa and Middle East",1045757432.98215,"mutton_tot",2640858196.4769,2640.8581964769
2020,"SSP3","Central Latin America",1045757432.98215,"mutton_tot",1088681107.0461,1088.6811070461
2020,"SSP3","East Asia",1045757432.98215,"mutton_tot",1686532294.47136,1686.53229447136
2020,"SSP3","Central Europe",1045757432.98215,"mutton_tot",2394760697.34889,2394.76069734889
2020,"SSP4","Central Latin America",1044232336.73396,"mutton_tot",1087934599.56553,1087.93459956553
2020,"SSP4","East Asia",1044232336.73396,"mutton_tot",1682246513.71438,1682.24651371438
2020,"SSP4","North Africa and Middle East",1044232336.73396,"mutton_tot",2637754067.03411,2637.75406703411
2020,"SSP4","Central Europe",1044232336.73396,"mutton_tot",2389900897.45282,2389.90089745282
2020,"SSP5","East Asia",994750142.535825,"mutton_tot",1900310328.07255,1900.31032807255
2020,"SSP5","Central Europe",994750142.535825,"mutton_tot",2513598951.80862,2513.59895180862
2020,"SSP5","Central Latin America",994750142.535825,"mutton_tot",1164230769.12395,1164.23076912395
2020,"SSP5","North Africa and Middle East",994750142.535825,"mutton_tot",2819981415.43873,2819.98141543873
2025,"SSP1","Central Europe",1091533249.81059,"mutton_tot",2806630632.22536,2806.63063222535
2025,"SSP1","East Asia",1091533249.81059,"mutton_tot",2228961518.13342,2228.96151813342
2025,"SSP1","North Africa and Middle East",1091533249.81059,"mutton_tot",3324884416.55442,3324.88441655442
2025,"SSP1","Central Latin America",1091533249.81059,"mutton_tot",1180018934.14163,1180.01893414163
2025,"SSP2","North Africa and Middle East",1137645211.04193,"mutton_tot",3378547349.6474,3378.5473496474
2025,"SSP2","Central Europe",1137645211.04193,"mutton_tot",2954285113.42814,2954.28511342814
2025,"SSP2","Central Latin America",1137645211.04193,"mutton_tot",1306119641.10988,1306.11964110988
2025,"SSP2","East Asia",1137645211.04193,"mutton_tot",2308738663.00413,2308.73866300413
2025,"SSP3","North Africa and Middle East",1185186940.95101,"mutton_tot",3062946106.01472,3062.94610601472
2025,"SSP3","Central Latin America",1185186940.95101,"mutton_tot",1199664211.07525,1199.66421107525
2025,"SSP3","East Asia",1185186940.95101,"mutton_tot",2021943858.38037,2021.94385838037
2025,"SSP3","Central Europe",1185186940.95101,"mutton_tot",2730395146.5811,2730.3951465811
2025,"SSP4","Central Latin America",1181892226.26957,"mutton_tot",1196900991.23009,1196.90099123009
2025,"SSP4","East Asia",1181892226.26957,"mutton_tot",2016323033.60997,2016.32303360997
2025,"SSP4","North Africa and Middle East",1181892226.26957,"mutton_tot",3054431387.23471,3054.43138723471
2025,"SSP4","Central Europe",1181892226.26957,"mutton_tot",2722804890.00238,2722.80489000238
2025,"SSP5","East Asia",1087101836.11198,"mutton_tot",2271720434.12949,2271.72043412949
2025,"SSP5","Central Europe",1087101836.11198,"mutton_tot",2854747449.40216,2854.74744940216
2025,"SSP5","Central Latin America",1087101836.11198,"mutton_tot",1140636463.69015,1140.63646369015
2025,"SSP5","North Africa and Middle East",1087101836.11198,"mutton_tot",3310011850.75914,3310.01185075914
2030,"SSP1","Central Europe",1181202385.29684,"mutton_tot",3300645224.77544,3300.64522477544
2030,"SSP1","East Asia",1181202385.29684,"mutton_tot",2543610431.75175,2543.61043175175
2030,"SSP1","North Africa and Middle East",1181202385.29684,"mutton_tot",4070395183.37114,4070.39518337114
2030,"SSP1","Central Latin America",1181202385.29684,"mutton_tot",1195370050.13056,1195.37005013056
2030,"SSP2","North Africa and Middle East",1255444397.1806,"mutton_tot",3976067578.09521,3976.06757809521
2030,"SSP2","Central Europe",1255444397.1806,"mutton_tot",3287963595.52502,3287.96359552502
2030,"SSP2","Central Latin America",1255444397.1806,"mutton_tot",1258463252.72744,1258.46325272744
2030,"SSP2","East Asia",1255444397.1806,"mutton_tot",2524788890.39567,2524.78889039567
2030,"SSP3","North Africa and Middle East",1337405242.76044,"mutton_tot",3886369700.1739,3886.3697001739
2030,"SSP3","Central Latin America",1337405242.76044,"mutton_tot",1354824229.5803,1354.8242295803
2030,"SSP3","East Asia",1337405242.76044,"mutton_tot",2543901975.22518,2543.90197522518
2030,"SSP3","Central Europe",1337405242.76044,"mutton_tot",3348218172.84541,3348.21817284541
2030,"SSP4","Central Latin America",1331684743.97647,"mutton_tot",1360616921.43964,1360.61692143964
2030,"SSP4","East Asia",1331684743.97647,"mutton_tot",2581188564.31712,2581.18856431712
2030,"SSP4","North Africa and Middle East",1331684743.97647,"mutton_tot",3955362184.41541,3955.36218441541
2030,"SSP4","Central Europe",1331684743.97647,"mutton_tot",3377633560.70023,3377.63356070023
2030,"SSP5","East Asia",1173819717.37501,"mutton_tot",2649355269.41128,2649.35526941128
2030,"SSP5","Central Europe",1173819717.37501,"mutton_tot",3336032919.52985,3336.03291952985
2030,"SSP5","Central Latin America",1173819717.37501,"mutton_tot",1293296323.81802,1293.29632381802
2030,"SSP5","North Africa and Middle East",1173819717.37501,"mutton_tot",4235728138.06075,4235.72813806075
2035,"SSP1","Central Europe",1268628968.5527,"mutton_tot",3893567889.73086,3893.56788973086
2035,"SSP1","East Asia",1268628968.5527,"mutton_tot",3220233977.86483,3220.23397786483
2035,"SSP1","North Africa and Middle East",1268628968.5527,"mutton_tot",4906344122.52515,4906.34412252515
2035,"SSP1","Central Latin America",1268628968.5527,"mutton_tot",1522746038.64945,1522.74603864945
2035,"SSP2","North Africa and Middle East",1373973759.14438,"mutton_tot",4909960224.89443,4909.96022489443
2035,"SSP2","Central Europe",1373973759.14438,"mutton_tot",3932064569.27106,3932.06456927106
2035,"SSP2","Central Latin America",1373973759.14438,"mutton_tot",1402544502.08091,1402.54450208091
2035,"SSP2","East Asia",1373973759.14438,"mutton_tot",3150516235.68204,3150.51623568204
2035,"SSP3","North Africa and Middle East",1495467392.44111,"mutton_tot",4641481546.54562,4641.48154654562
2035,"SSP3","Central Latin America",1495467392.44111,"mutton_tot",1628709899.32383,1628.70989932383
2035,"SSP3","East Asia",1495467392.44111,"mutton_tot",3095185187.65439,3095.18518765439
2035,"SSP3","Central Europe",1495467392.44111,"mutton_tot",3966395739.44047,3966.39573944047
2035,"SSP4","Central Latin America",1486389922.16878,"mutton_tot",1615880861.91243,1615.88086191243
2035,"SSP4","East Asia",1486389922.16878,"mutton_tot",3121140167.9359,3121.1401679359
2035,"SSP4","North Africa and Middle East",1486389922.16878,"mutton_tot",4694594288.59677,4694.59428859677
2035,"SSP4","Central Europe",1486389922.16878,"mutton_tot",4033943107.53576,4033.94310753576
2035,"SSP5","East Asia",1257851769.39312,"mutton_tot",3551220479.21282,3551.22047921282
2035,"SSP5","Central Europe",1257851769.39312,"mutton_tot",4293585481.1498,4293.5854811498
2035,"SSP5","Central Latin America",1257851769.39312,"mutton_tot",1794416254.12799,1794.41625412798
2035,"SSP5","North Africa and Middle East",1257851769.39312,"mutton_tot",4951192248.0088,4951.1922480088
2040,"SSP1","Central Europe",1350538145.01664,"mutton_tot",5105728380.84728,5105.72838084728
2040,"SSP1","East Asia",1350538145.01664,"mutton_tot",4358431121.76213,4358.43112176213
2040,"SSP1","North Africa and Middle East",1350538145.01664,"mutton_tot",5799824110.51621,5799.82411051621
