,,,,2020,2030,2040,2050
Fossil Fuels [EJ],North Africa and Middle East,SSP4,baseline,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP4,optimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP5,pessimistic,0,0,0,0.0
Fossil Fuels [EJ],North Africa and Middle East,SSP5,baseline,0,0,0,0.9732931323249924
Fossil Fuels [EJ],North Africa and Middle East,SSP5,optimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP1,pessimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP1,baseline,0,0,0,0.0
Electricity [TWh],Central Europe,SSP1,optimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP2,pessimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP2,baseline,0,0,0,0.0
Electricity [TWh],Central Europe,SSP2,optimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP3,pessimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP3,baseline,0,0,0,0.0
Electricity [TWh],Central Europe,SSP3,optimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP4,pessimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP4,baseline,0,0,0,0.0
Electricity [TWh],Central Europe,SSP4,optimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP5,pessimistic,0,0,0,0.0
Electricity [TWh],Central Europe,SSP5,baseline,0,0,0,0.0
Electricity [TWh],Central Europe,SSP5,optimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP1,pessimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP1,baseline,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP1,optimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP2,pessimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP2,baseline,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP2,optimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP3,pessimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP3,baseline,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP3,optimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP4,pessimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP4,baseline,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP4,optimistic,0,0,0,0.0
Electricity [TWh],Central Latin America,SSP5,pessimistic,0,0,0,0.0
