,,,2020,2030,2040,2050
GHG [GtonCO2_eq],Central Latin America,SSP4,0.5198167431019254,0.7237588051015086,1.0354793887622902,1.4748976284194666
GHG [GtonCO2_eq],Central Latin America,SSP5,0.48691968691942084,0.8571727683242959,1.5167438673068583,1.8627879024666079
GHG [GtonCO2_eq],East Asia,SSP1,0.40418967678487044,0.7869605801025046,1.0638551652335777,1.4822389553797302
GHG [GtonCO2_eq],East Asia,SSP2,0.40860587866141884,0.7320423782403653,1.0552925039339498,1.355160554642945
GHG [GtonCO2_eq],East Asia,SSP3,0.42113500939390014,0.6135834787173303,0.9015900380660699,1.1824408696360993
GHG [GtonCO2_eq],East Asia,SSP4,0.42059254504820726,0.6202869542919575,0.9543855615881598,1.335277022372046
GHG [GtonCO2_eq],East Asia,SSP5,0.4045060966468808,0.8026145476847273,1.1741730055049904,1.504006637229692
GHG [GtonCO2_eq],North Africa and Middle East,SSP1,0.3720817245234145,0.6205873112920471,0.8503805910127701,1.020080894124566
GHG [GtonCO2_eq],North Africa and Middle East,SSP2,0.38174026678334544,0.5882146922178966,0.8203746351274968,1.0486181868350914
GHG [GtonCO2_eq],North Africa and Middle East,SSP3,0.39572972644284915,0.5347932874370538,0.7240111544436096,0.9367790407683239
GHG [GtonCO2_eq],North Africa and Middle East,SSP4,0.3956503927877134,0.5317327322270153,0.7474087790872846,1.0240580151978418
GHG [GtonCO2_eq],North Africa and Middle East,SSP5,0.36970034610147906,0.6395672087265016,0.9179176216422112,1.0211258951129647
CO2_f [GtonCO2_eq],Central Europe,SSP1,0.020992325238428023,0.04235281473595049,0.06481979638237848,0.09458034412027339
CO2_f [GtonCO2_eq],Central Europe,SSP2,0.021322849600900317,0.03922594636670523,0.06377318395296203,0.08793440746167594
CO2_f [GtonCO2_eq],Central Europe,SSP3,0.02162516444433943,0.03542250007451817,0.05557617784821534,0.07867496209361416
CO2_f [GtonCO2_eq],Central Europe,SSP4,0.02158375306465131,0.03558767099725356,0.05767066095972571,0.08620418011464119
CO2_f [GtonCO2_eq],Central Europe,SSP5,0.020996434433647935,0.04331035961355603,0.07084705214625758,0.10354250451630241
CO2_f [GtonCO2_eq],Central Latin America,SSP1,0.015896410616613784,0.033378353322242156,0.05404813404100046,0.09133745558372873
CO2_f [GtonCO2_eq],Central Latin America,SSP2,0.016200245003894283,0.031065294882120408,0.05024154604880777,0.07878788461961972
CO2_f [GtonCO2_eq],Central Latin America,SSP3,0.016628174019758787,0.027181347928620064,0.042989875459064505,0.06613868601699438
CO2_f [GtonCO2_eq],Central Latin America,SSP4,0.01659354128190415,0.027278310973049624,0.044950789064829653,0.07370451792114603
CO2_f [GtonCO2_eq],Central Latin America,SSP5,0.01596762389586971,0.033574807291774304,0.061464550036269786,0.09453378711276293
CO2_f [GtonCO2_eq],East Asia,SSP1,0.018892237722714415,0.036106983253907224,0.05271568485463531,0.07885215640278523
CO2_f [GtonCO2_eq],East Asia,SSP2,0.01893809042947042,0.033669338632692024,0.05087329951776497,0.07058594514988778
CO2_f [GtonCO2_eq],East Asia,SSP3,0.019266225042108745,0.02924897647741577,0.043460407132174986,0.059557821356390254
CO2_f [GtonCO2_eq],East Asia,SSP4,0.019236911670594325,0.02951502598405841,0.04553235303895502,0.06727117399588911
CO2_f [GtonCO2_eq],East Asia,SSP5,0.018972144861906015,0.036926023342488616,0.057856599537681894,0.08247871237014304
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP1,0.011186923988305036,0.021234297667980604,0.030498614588669516,0.04363276174852303
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP2,0.011394463100251228,0.02032694356753896,0.030006255806137694,0.04215294921238809
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP3,0.01178522244842906,0.018141567314819744,0.027093665495953788,0.038725237109443915
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP4,0.011778590176332145,0.01816009505655155,0.028057800770203558,0.04195079085157319
CO2_f [GtonCO2_eq],North Africa and Middle East,SSP5,0.011187713606384266,0.021601383017104132,0.03277980776808591,0.04516295794269957
CH4 [GtonCO2_eq],Central Europe,SSP1,0.245521922948169,0.4042249905385838,0.47574654920428144,0.5170416685899715
CH4 [GtonCO2_eq],Central Europe,SSP2,0.2515073103678086,0.3784082843644287,0.5030324830402483,0.5313105129079576
CH4 [GtonCO2_eq],Central Europe,SSP3,0.2586446467346648,0.3504118078831759,0.45403816508237604,0.5244758567150934
CH4 [GtonCO2_eq],Central Europe,SSP4,0.2581333950881848,0.3520985492803978,0.46956415622074454,0.5678365232807847
CH4 [GtonCO2_eq],Central Europe,SSP5,0.24472893197406775,0.4120144552837097,0.503043026081185,0.506775236196419
CH4 [GtonCO2_eq],Central Latin America,SSP1,0.2292281578324186,0.3940912474531662,0.5925968494350409,0.8354055935922919
CH4 [GtonCO2_eq],Central Latin America,SSP2,0.23641758251867298,0.36997814724908307,0.5179961376598186,0.7257988959845214
CH4 [GtonCO2_eq],Central Latin America,SSP3,0.24497938812521827,0.33409528595654975,0.4506680634261105,0.5911930465609103
CH4 [GtonCO2_eq],Central Latin America,SSP4,0.2444813560857439,0.3332965971633943,0.46711878686892794,0.6498871921076961
CH4 [GtonCO2_eq],Central Latin America,SSP5,0.2282765333020481,0.39253892435268467,0.6914273307296651,0.8187156036628677
CH4 [GtonCO2_eq],East Asia,SSP1,0.17923040332666157,0.34741678996946174,0.45813950553627153,0.6215241446654546
CH4 [GtonCO2_eq],East Asia,SSP2,0.18146026692853925,0.3230576798308826,0.456713683601517,0.5707667679218283
CH4 [GtonCO2_eq],East Asia,SSP3,0.18744392048975705,0.26919302278009033,0.39027088335647137,0.5011608094603429
CH4 [GtonCO2_eq],East Asia,SSP4,0.18721062578781195,0.27222003070733064,0.4138567012805793,0.5659325822849236
CH4 [GtonCO2_eq],East Asia,SSP5,0.1792607312277988,0.35415499692215463,0.5060915290360936,0.6267706737842306
CH4 [GtonCO2_eq],North Africa and Middle East,SSP1,0.17357872440018482,0.2799809917598185,0.3700335228020103,0.4171235117023034
CH4 [GtonCO2_eq],North Africa and Middle East,SSP2,0.17822951510600493,0.2651248117419404,0.35603630567259886,0.4330923196272349
CH4 [GtonCO2_eq],North Africa and Middle East,SSP3,0.1848125310093516,0.24172638395174237,0.3133974761943432,0.3853553780641913
CH4 [GtonCO2_eq],North Africa and Middle East,SSP4,0.1847836341139795,0.24012830032920027,0.323354433514914,0.4216823310618181
CH4 [GtonCO2_eq],North Africa and Middle East,SSP5,0.1723432291405927,0.2890091927662891,0.3996184475326719,0.41523921185810153
N2O [GtonCO2_eq],Central Europe,SSP1,0.13853585780963312,0.23400870127001538,0.2862604988292831,0.3283678806017226
N2O [GtonCO2_eq],Central Europe,SSP2,0.14175558498969257,0.21871233013589797,0.29880964439876057,0.33013194056819706
N2O [GtonCO2_eq],Central Europe,SSP3,0.1455181465808605,0.20176690937765557,0.2680909515826743,0.3194957121131981
N2O [GtonCO2_eq],Central Europe,SSP4,0.14523157209814166,0.20273248778234942,0.27741828667643786,0.3467076032033887
N2O [GtonCO2_eq],Central Europe,SSP5,0.1381498195584332,0.2386407415781329,0.30457466794019494,0.3303296020945825
N2O [GtonCO2_eq],Central Latin America,SSP1,0.1251446441191121,0.21783874786219629,0.32473315313619017,0.46098065406565814
N2O [GtonCO2_eq],Central Latin America,SSP2,0.12889896425682823,0.20427854098294357,0.2863164970552789,0.40005433950699043
N2O [GtonCO2_eq],Central Latin America,SSP3,0.13342836386483767,0.1837201027552426,0.248508588697727,0.32740458114684373
N2O [GtonCO2_eq],Central Latin America,SSP4,0.1331563721202713,0.18341900150742857,0.2579016776494787,0.36071195417830537
N2O [GtonCO2_eq],Central Latin America,SSP5,0.124743605279008,0.21725759541968737,0.3775774636282918,0.45578369042448924
N2O [GtonCO2_eq],East Asia,SSP1,0.10440787499809091,0.20170649002060181,0.26981933936049335,0.3715181579294767
N2O [GtonCO2_eq],East Asia,SSP2,0.1055405520997577,0.18764215768555395,0.2675329672708293,0.33959101268239134
N2O [GtonCO2_eq],East Asia,SSP3,0.10876168586920443,0.15737724930521743,0.22859087841029602,0.29611099721845063
N2O [GtonCO2_eq],East Asia,SSP4,0.10862153012766565,0.1590925312705124,0.24193108791528226,0.33439259056044934
N2O [GtonCO2_eq],East Asia,SSP5,0.10449293960614886,0.20572318428592465,0.29774732925423314,0.3771914286088068
N2O [GtonCO2_eq],North Africa and Middle East,SSP1,0.09550901424446176,0.15781302404925793,0.21275975601320146,0.2510032563712034
