Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2020,SSP3,North Africa and Middle East,1045757433,mutton,2308652860,2308.65286,0
2020,SSP3,Central Latin America,1045757433,mutton,2300080230,2300.08023,0
2020,SSP3,East Asia,1045757433,mutton,2294282418,2294.282418,0
2020,SSP3,Central Europe,1045757433,mutton,4390030652,4390.030652,0
2020,SSP4,Central Latin America,1044232337,mutton,2257275323,2257.275323,0
2020,SSP4,East Asia,1044232337,mutton,2251485966,2251.485966,0
2020,SSP4,North Africa and Middle East,1044232337,mutton,2258170785,2258.170785,0
2020,SSP4,Central Europe,1044232337,mutton,4359806038,4359.806038,0
2020,SSP5,East Asia,994750142.5,mutton,2533125360,2533.12536,0
2020,SSP5,Central Europe,994750142.5,mutton,4532455747,4532.455747,0
2020,SSP5,Central Latin America,994750142.5,mutton,2538640381,2538.640381,0
2020,SSP5,North Africa and Middle East,994750142.5,mutton,2604580079,2604.580079,0
2030,SSP1,Central Europe,1181202385,mutton,7364627032,7364.627032,0
2030,SSP1,East Asia,1181202385,mutton,4638003404,4638.003404,0
2030,SSP1,North Africa and Middle East,1181202385,mutton,4757378089,4757.378089,0
2030,SSP1,Central Latin America,1181202385,mutton,4607078214,4607.078214,0
2030,SSP2,North Africa and Middle East,1255444397,mutton,3889458509,3889.458509,0
2030,SSP2,Central Europe,1255444397,mutton,6228989307,6228.989307,0
2030,SSP2,Central Latin America,1255444397,mutton,3732969936,3732.969936,0
2030,SSP2,East Asia,1255444397,mutton,3726009593,3726.009593,0
2030,SSP3,North Africa and Middle East,1337405243,mutton,3481904070,3481.90407,0
2030,SSP3,Central Latin America,1337405243,mutton,3417975389,3417.975389,0
2030,SSP3,East Asia,1337405243,mutton,3410560644,3410.560644,0
2030,SSP3,Central Europe,1337405243,mutton,6159208493,6159.208493,0
2030,SSP4,Central Latin America,1331684744,mutton,3452236627,3452.236627,0
2030,SSP4,East Asia,1331684744,mutton,3444853598,3444.853598,0
2030,SSP4,North Africa and Middle East,1331684744,mutton,3557988752,3557.988752,0
2030,SSP4,Central Europe,1331684744,mutton,6152321377,6152.321377,0
2030,SSP5,East Asia,1173819717,mutton,4910220911,4910.220911,0
2030,SSP5,Central Europe,1173819717,mutton,7710797590,7710.79759,0
2030,SSP5,Central Latin America,1173819717,mutton,4889106298,4889.106298,0
2030,SSP5,North Africa and Middle East,1173819717,mutton,5063107286,5063.107286,0
2040,SSP1,Central Europe,1350538145,mutton,13398702356,13398.70236,0
2040,SSP1,East Asia,1350538145,mutton,7818918441,7818.918441,0
2040,SSP1,North Africa and Middle East,1350538145,mutton,8150506591,8150.506591,0
2040,SSP1,Central Latin America,1350538145,mutton,7834567217,7834.567217,0
2040,SSP2,North Africa and Middle East,1491265643,mutton,7410682909,7410.682909,0
2040,SSP2,Central Europe,1491265643,mutton,11260729110,11260.72911,0
2040,SSP2,Central Latin America,1491265643,mutton,7141670151,7141.670151,0
2040,SSP2,East Asia,1491265643,mutton,7147336676,7147.336676,0
2040,SSP3,North Africa and Middle East,1659910201,mutton,4637631567,4637.631567,0
2040,SSP3,Central Latin America,1659910201,mutton,4488476667,4488.476667,0
2040,SSP3,East Asia,1659910201,mutton,4479273914,4479.273914,0
2040,SSP3,Central Europe,1659910201,mutton,7787972739,7787.972739,0
2040,SSP4,Central Latin America,1646655145,mutton,4837267926,4837.267926,0
2040,SSP4,East Asia,1646655145,mutton,4828138661,4828.138661,0
2040,SSP4,North Africa and Middle East,1646655145,mutton,5028690881,5028.690881,0
2040,SSP4,Central Europe,1646655145,mutton,8152437289,8152.437289,0
2040,SSP5,East Asia,1335860194,mutton,7456371626,7456.371626,0
2040,SSP5,Central Europe,1335860194,mutton,14023452183,14023.45218,0
2040,SSP5,Central Latin America,1335860194,mutton,7477030126,7477.030126,0
2040,SSP5,North Africa and Middle East,1335860194,mutton,7885231364,7885.231364,0
2050,SSP1,Central Europe,1488035847,mutton,16402222298,16402.2223,0
2050,SSP1,East Asia,1488035847,mutton,8220091495,8220.091495,0
2050,SSP1,North Africa and Middle East,1488035847,mutton,8806866185,8806.866185,0
2050,SSP1,Central Latin America,1488035847,mutton,8262010758,8262.010758,0
2050,SSP2,North Africa and Middle East,1714457209,mutton,10546424024,10546.42402,0
2050,SSP2,Central Europe,1714457209,mutton,17249456280,17249.45628,0
2050,SSP2,Central Latin America,1714457209,mutton,10093371733,10093.37173,0
2050,SSP2,East Asia,1714457209,mutton,10078695251,10078.69525,0
2050,SSP3,North Africa and Middle East,2004913219,mutton,6255852789,6255.852789,0
2050,SSP3,Central Latin America,2004913219,mutton,5968130462,5968.130462,0
2050,SSP3,East Asia,2004913219,mutton,5957014968,5957.014968,0
2050,SSP3,Central Europe,2004913219,mutton,9979099406,9979.099406,0
2050,SSP4,Central Latin America,1981120264,mutton,7464011655,7464.011655,0
2050,SSP4,East Asia,1981120264,mutton,7519850316,7519.850316,0
2050,SSP4,North Africa and Middle East,1981120264,mutton,7777138569,7777.138569,0
2050,SSP4,Central Europe,1981120264,mutton,11815853170,11815.85317,0
2050,SSP5,East Asia,1464277473,mutton,7794962133,7794.962133,0
2050,SSP5,Central Europe,1464277473,mutton,17205985034,17205.98503,0
