Year,SSP_Scenario,Scenario_region,Population,Type,Total_kg,total_Kt,dry_ton
2025,SSP1,East Asia,1091533250,poultry,7420874662,7420.874662,2315.312894
2025,SSP1,North Africa and Middle East,1091533250,poultry,6808034670,6808.03467,2124.106817
2025,SSP1,Central Latin America,1091533250,poultry,9460977663,9460.977663,2951.825031
2025,SSP2,North Africa and Middle East,1137645211,poultry,6274504635,6274.504635,1957.645446
2025,SSP2,Central Europe,1137645211,poultry,7101797645,7101.797645,2215.760865
2025,SSP2,Central Latin America,1137645211,poultry,8700679812,8700.679812,2714.612101
2025,SSP2,East Asia,1137645211,poultry,7037642126,7037.642126,2195.744343
2025,SSP3,North Africa and Middle East,1185186941,poultry,5821026401,5821.026401,1816.160237
2025,SSP3,Central Latin America,1185186941,poultry,8180113470,8180.11347,2552.195403
2025,SSP3,East Asia,1185186941,poultry,6619762145,6619.762145,2065.365789
2025,SSP3,Central Europe,1185186941,poultry,6970818919,6970.818919,2174.895503
2025,SSP4,Central Latin America,1181892226,poultry,8162260604,8162.260604,2546.625308
2025,SSP4,East Asia,1181892226,poultry,6603081416,6603.081416,2060.161402
2025,SSP4,North Africa and Middle East,1181892226,poultry,5807958750,5807.95875,1812.08313
2025,SSP4,Central Europe,1181892226,poultry,6956327785,6956.327785,2170.374269
2025,SSP5,East Asia,1087101836,poultry,7879551584,7879.551584,2458.420094
2025,SSP5,Central Europe,1087101836,poultry,7742240381,7742.240381,2415.578999
2025,SSP5,Central Latin America,1087101836,poultry,10079355780,10079.35578,3144.759003
2025,SSP5,North Africa and Middle East,1087101836,poultry,7178186847,7178.186847,2239.594296
2030,SSP1,Central Europe,1181202385,poultry,9998208544,9998.208544,3119.441066
2030,SSP1,East Asia,1181202385,poultry,9991435182,9991.435182,3117.327777
2030,SSP1,North Africa and Middle East,1181202385,poultry,9558831499,9558.831499,2982.355428
2030,SSP1,Central Latin America,1181202385,poultry,13453637010,13453.63701,4197.534747
2030,SSP2,North Africa and Middle East,1255444397,poultry,8785581857,8785.581857,2741.101539
2030,SSP2,Central Europe,1255444397,poultry,9515061814,9515.061814,2968.699286
2030,SSP2,Central Latin America,1255444397,poultry,12496355048,12496.35505,3898.862775
2030,SSP2,East Asia,1255444397,poultry,9364376010,9364.37601,2921.685315
2030,SSP3,North Africa and Middle East,1337405243,poultry,7311187721,7311.187721,2281.090569
2030,SSP3,Central Latin America,1337405243,poultry,10454849173,10454.84917,3261.912942
2030,SSP3,East Asia,1337405243,poultry,7997458960,7997.45896,2495.207195
2030,SSP3,Central Europe,1337405243,poultry,8604746786,8604.746786,2684.680997
2030,SSP4,Central Latin America,1331684744,poultry,10581404864,10581.40486,3301.398318
2030,SSP4,East Asia,1331684744,poultry,8047547715,8047.547715,2510.834887
2030,SSP4,North Africa and Middle East,1331684744,poultry,7418821939,7418.821939,2314.672445
2030,SSP4,Central Europe,1331684744,poultry,8602096717,8602.096717,2683.854176
2030,SSP5,East Asia,1173819717,poultry,10230313694,10230.31369,3191.857872
2030,SSP5,Central Europe,1173819717,poultry,10278610385,10278.61038,3206.92644
2030,SSP5,Central Latin America,1173819717,poultry,13473245400,13473.2454,4203.652565
2030,SSP5,North Africa and Middle East,1173819717,poultry,9650899694,9650.899694,3011.080704
2035,SSP1,Central Europe,1268628969,poultry,11860505723,11860.50572,3700.477786
2035,SSP1,East Asia,1268628969,poultry,11645243395,11645.2434,3633.315939
2035,SSP1,North Africa and Middle East,1268628969,poultry,11381784252,11381.78425,3551.116687
2035,SSP1,Central Latin America,1268628969,poultry,14854268568,14854.26857,4634.531793
2035,SSP2,North Africa and Middle East,1373973759,poultry,11636426660,11636.42666,3630.565118
2035,SSP2,Central Europe,1373973759,poultry,11957140749,11957.14075,3730.627914
2035,SSP2,Central Latin America,1373973759,poultry,15890046430,15890.04643,4957.694486
2035,SSP2,East Asia,1373973759,poultry,11646998003,11646.998,3633.863377
2035,SSP3,North Africa and Middle East,1495467392,poultry,9417826117,9417.826117,2938.361748
2035,SSP3,Central Latin America,1495467392,poultry,12920418436,12920.41844,4031.170552
2035,SSP3,East Asia,1495467392,poultry,9587335459,9587.335459,2991.248663
2035,SSP3,Central Europe,1495467392,poultry,10510924162,10510.92416,3279.408339
2035,SSP4,Central Latin America,1486389922,poultry,13176926465,13176.92647,4111.201057
2035,SSP4,East Asia,1486389922,poultry,9656313042,9656.313042,3012.769669
2035,SSP4,North Africa and Middle East,1486389922,poultry,9679664865,9679.664865,3020.055438
2035,SSP4,Central Europe,1486389922,poultry,10542195756,10542.19576,3289.165076
2035,SSP5,East Asia,1257851769,poultry,12101681083,12101.68108,3775.724498
2035,SSP5,Central Europe,1257851769,poultry,12218549318,12218.54932,3812.187387
2035,SSP5,Central Latin America,1257851769,poultry,14969783899,14969.7839,4670.572576
2035,SSP5,North Africa and Middle East,1257851769,poultry,11976160858,11976.16086,3736.562188
2040,SSP1,Central Europe,1350538145,poultry,14202531229,14202.53123,4431.189743
2040,SSP1,East Asia,1350538145,poultry,13739195081,13739.19508,4286.628865
2040,SSP1,North Africa and Middle East,1350538145,poultry,13698988264,13698.98826,4274.084338
2040,SSP1,Central Latin America,1350538145,poultry,17031412717,17031.41272,5313.800768
2040,SSP2,North Africa and Middle East,1491265643,poultry,13608560694,13608.56069,4245.870937
2040,SSP2,Central Europe,1491265643,poultry,13926718657,13926.71866,4345.136221
2040,SSP2,Central Latin America,1491265643,poultry,17480373455,17480.37346,5453.876518
2040,SSP2,East Asia,1491265643,poultry,13096696675,13096.69668,4086.169363
2040,SSP3,North Africa and Middle East,1659910201,poultry,11593324336,11593.32434,3617.117193
2040,SSP3,Central Latin America,1659910201,poultry,15093517687,15093.51769,4709.177518
2040,SSP3,East Asia,1659910201,poultry,11031523500,11031.5235,3441.835332
2040,SSP3,Central Europe,1659910201,poultry,12353556239,12353.55624,3854.309547
2040,SSP4,Central Latin America,1646655145,poultry,15885720040,15885.72004,4956.344653
2040,SSP4,East Asia,1646655145,poultry,11507204572,11507.20457,3590.247827
2040,SSP4,North Africa and Middle East,1646655145,poultry,12107256528,12107.25653,3777.464037
2040,SSP4,Central Europe,1646655145,poultry,12783240000,12783.24,3988.37088
2040,SSP5,East Asia,1335860194,poultry,15315892303,15315.8923,4778.558399
2040,SSP5,Central Europe,1335860194,poultry,15690421966,15690.42197,4895.411653
2040,SSP5,Central Latin America,1335860194,poultry,18387968863,18387.96886,5737.046285
2040,SSP5,North Africa and Middle East,1335860194,poultry,14700342673,14700.34267,4586.506914
2045,SSP1,Central Europe,1424136936,poultry,17013623505,17013.62351,5308.250534
2045,SSP1,East Asia,1424136936,poultry,16940865751,16940.86575,5285.550114
2045,SSP1,North Africa and Middle East,1424136936,poultry,16806599500,16806.5995,5243.659044
2045,SSP1,Central Latin America,1424136936,poultry,20412634210,20412.63421,6368.741874
2045,SSP2,North Africa and Middle East,1605175585,poultry,16280198587,16280.19859,5079.421959
2045,SSP2,Central Europe,1605175585,poultry,15694460716,15694.46072,4896.671743
2045,SSP2,Central Latin America,1605175585,poultry,19141541462,19141.54146,5972.160936
