Impact,Region,SSP,Approach,2020,2030,2040,2050
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,baseline,12.30322386,30.75286707,85.30090976,193.5168077
Water Cons. Blue [BCM],North Africa and Middle East,SSP2,optimistic,14.56791819,36.31662309,100.2808922,226.8925745
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,pessimistic,11.95285329,28.04435242,58.8832859,105.6610908
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,baseline,11.95285329,28.04435242,58.8832859,105.6610908
Water Cons. Blue [BCM],North Africa and Middle East,SSP3,optimistic,14.17241018,33.23782957,69.89840899,125.266474
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,pessimistic,11.74402589,28.64839743,62.83292767,125.1667416
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,baseline,11.74402589,28.64839743,62.83292767,125.1667416
Water Cons. Blue [BCM],North Africa and Middle East,SSP4,optimistic,13.9383754,33.9223794,74.44425952,147.85828
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,pessimistic,13.06988278,37.77169248,121.1994662,211.5025392
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,baseline,13.06988278,37.77169248,121.1994662,211.5025392
Water Cons. Blue [BCM],North Africa and Middle East,SSP5,optimistic,15.42374943,44.29372217,141.5001331,247.588816
Water Cons. Blue [BCM],Median,SSP1,pessimistic,8.414639327,18.95346569,45.31305364,71.56119381
Water Cons. Blue [BCM],Median,SSP1,baseline,8.414639327,18.95346569,45.31305364,71.56119381
Water Cons. Blue [BCM],Median,SSP1,optimistic,9.538879561,21.34088884,50.99225234,80.95519339
Water Cons. Blue [BCM],Median,SSP2,pessimistic,8.071013861,16.06343819,36.44732767,71.25571354
Water Cons. Blue [BCM],Median,SSP2,baseline,8.071013861,16.06343819,36.44732767,71.25571354
Water Cons. Blue [BCM],Median,SSP2,optimistic,9.167002705,18.17172336,41.19745777,80.65828969
Water Cons. Blue [BCM],Median,SSP3,pessimistic,7.871429747,14.79521815,25.80094714,41.45152852
Water Cons. Blue [BCM],Median,SSP3,baseline,7.871429747,14.79521815,25.80094714,41.45152852
Water Cons. Blue [BCM],Median,SSP3,optimistic,8.947331276,16.78058841,29.39101775,47.34348515
Water Cons. Blue [BCM],Median,SSP4,pessimistic,7.73700766,15.01465201,27.46463964,49.07741009
Water Cons. Blue [BCM],Median,SSP4,baseline,7.73700766,15.01465201,27.46463964,49.07741009
Water Cons. Blue [BCM],Median,SSP4,optimistic,8.800855952,17.0199241,31.23909881,55.88646181
Water Cons. Blue [BCM],Median,SSP5,pessimistic,8.468506574,19.60205846,49.11068506,77.04490467
Water Cons. Blue [BCM],Median,SSP5,baseline,8.468506574,19.60205846,49.11068506,77.04490467
Water Cons. Blue [BCM],Median,SSP5,optimistic,9.597094013,22.04828939,55.18152065,87.05638857
Water Cons. Green [BCM],Central Europe,SSP1,pessimistic,204.9909865,387.9752067,887.4859797,1430.800999
Water Cons. Green [BCM],Central Europe,SSP1,baseline,204.9909865,387.9752067,887.4859797,1430.800999
Water Cons. Green [BCM],Central Europe,SSP1,optimistic,239.5966979,447.5954801,1012.867447,1628.693403
Water Cons. Green [BCM],Central Europe,SSP2,pessimistic,204.0626522,347.2095342,732.3860672,1393.420992
Water Cons. Green [BCM],Central Europe,SSP2,baseline,204.0626522,347.2095342,732.3860672,1393.420992
Water Cons. Green [BCM],Central Europe,SSP2,optimistic,238.5795642,401.8542466,838.5412354,1586.650898
Water Cons. Green [BCM],Central Europe,SSP3,pessimistic,206.498017,351.9301179,589.6785652,904.8316519
Water Cons. Green [BCM],Central Europe,SSP3,baseline,206.498017,351.9301179,589.6785652,904.8316519
Water Cons. Green [BCM],Central Europe,SSP3,optimistic,241.2989389,407.2556923,678.3413602,1037.010021
Water Cons. Green [BCM],Central Europe,SSP4,pessimistic,205.3885799,351.840821,599.0472032,1018.859551
Water Cons. Green [BCM],Central Europe,SSP4,baseline,205.3885799,351.840821,599.0472032,1018.859551
Water Cons. Green [BCM],Central Europe,SSP4,optimistic,240.041265,407.1544319,688.8940895,1165.329625
Water Cons. Green [BCM],Central Europe,SSP5,pessimistic,204.7101457,397.8659347,975.2025869,1535.684087
Water Cons. Green [BCM],Central Europe,SSP5,baseline,204.7101457,397.8659347,975.2025869,1535.684087
Water Cons. Green [BCM],Central Europe,SSP5,optimistic,239.2838913,458.6471326,1111.669455,1746.932126
Water Cons. Green [BCM],Central Latin America,SSP1,pessimistic,103.3174579,187.5858615,357.842597,447.8180427
Water Cons. Green [BCM],Central Latin America,SSP1,baseline,103.3174579,187.5858615,357.842597,447.8180427
Water Cons. Green [BCM],Central Latin America,SSP1,optimistic,122.3384603,215.8831102,402.2269944,498.1049792
Water Cons. Green [BCM],Central Latin America,SSP2,pessimistic,99.56669332,158.5282303,283.005186,444.4572122
Water Cons. Green [BCM],Central Latin America,SSP2,baseline,99.56669332,158.5282303,283.005186,444.4572122
Water Cons. Green [BCM],Central Latin America,SSP2,optimistic,118.1347434,183.5081663,320.3268262,495.6629053
Water Cons. Green [BCM],Central Latin America,SSP3,pessimistic,97.32635444,147.4130623,195.9769247,248.9924601
Water Cons. Green [BCM],Central Latin America,SSP3,baseline,97.32635444,147.4130623,195.9769247,248.9924601
Water Cons. Green [BCM],Central Latin America,SSP3,optimistic,115.5855813,171.0642114,224.0741072,281.6087265
Water Cons. Green [BCM],Central Latin America,SSP4,pessimistic,95.75691065,148.7077436,208.2368536,295.3775533
Water Cons. Green [BCM],Central Latin America,SSP4,baseline,95.75691065,148.7077436,208.2368536,295.3775533
Water Cons. Green [BCM],Central Latin America,SSP4,optimistic,113.8215806,172.5124193,237.7369722,332.9914915
Water Cons. Green [BCM],Central Latin America,SSP5,pessimistic,103.6844929,195.5580599,388.9378659,487.8545666
Water Cons. Green [BCM],Central Latin America,SSP5,baseline,103.6844929,195.5580599,388.9378659,487.8545666
Water Cons. Green [BCM],Central Latin America,SSP5,optimistic,122.754717,224.6809786,436.1600482,540.9042635
Water Cons. Green [BCM],East Asia,SSP1,pessimistic,101.2185899,179.1594167,322.6864878,386.8016439
Water Cons. Green [BCM],East Asia,SSP1,baseline,101.2185899,179.1594167,322.6864878,386.8016439
Water Cons. Green [BCM],East Asia,SSP1,optimistic,119.5615763,205.3083908,359.8173932,424.2767071
Water Cons. Green [BCM],East Asia,SSP2,pessimistic,97.55692634,151.437301,257.3911322,382.1466034
Water Cons. Green [BCM],East Asia,SSP2,baseline,97.55692634,151.437301,257.3911322,382.1466034
Water Cons. Green [BCM],East Asia,SSP2,optimistic,115.4631133,174.532841,289.0263571,420.5417863
Water Cons. Green [BCM],East Asia,SSP3,pessimistic,95.37134646,140.8512568,179.4819001,216.9781756
Water Cons. Green [BCM],East Asia,SSP3,baseline,95.37134646,140.8512568,179.4819001,216.9781756
Water Cons. Green [BCM],East Asia,SSP3,optimistic,112.9782652,162.7171678,203.5119209,242.1579819
Water Cons. Green [BCM],East Asia,SSP4,pessimistic,93.83620501,142.085191,190.6952062,257.1947038
Water Cons. Green [BCM],East Asia,SSP4,baseline,93.83620501,142.085191,190.6952062,257.1947038
Water Cons. Green [BCM],East Asia,SSP4,optimistic,111.2553059,164.0930773,215.9251629,286.1965374
Water Cons. Green [BCM],East Asia,SSP5,pessimistic,101.5770855,186.0861427,351.4114453,420.509371
Water Cons. Green [BCM],East Asia,SSP5,baseline,101.5770855,186.0861427,351.4114453,420.509371
Water Cons. Green [BCM],East Asia,SSP5,optimistic,119.9677242,212.9257543,390.8598441,459.7134191
Water Cons. Green [BCM],North Africa and Middle East,SSP1,pessimistic,105.895076,193.0327141,374.0074583,460.448805
Water Cons. Green [BCM],North Africa and Middle East,SSP1,baseline,105.895076,193.0327141,374.0074583,460.448805
Water Cons. Green [BCM],North Africa and Middle East,SSP1,optimistic,124.8386465,220.9675208,417.2086478,506.712708
Water Cons. Green [BCM],North Africa and Middle East,SSP2,pessimistic,100.500899,163.2874007,285.5340792,452.0187831
Water Cons. Green [BCM],North Africa and Middle East,SSP2,baseline,100.500899,163.2874007,285.5340792,452.0187831
Water Cons. Green [BCM],North Africa and Middle East,SSP2,optimistic,118.8228136,187.9094817,320.8970268,498.8579925
Water Cons. Green [BCM],North Africa and Middle East,SSP3,pessimistic,97.95528796,148.7105581,195.9227686,244.2593185
Water Cons. Green [BCM],North Africa and Middle East,SSP3,baseline,97.95528796,148.7105581,195.9227686,244.2593185
Water Cons. Green [BCM],North Africa and Middle East,SSP3,optimistic,115.9141936,171.7148612,222.3284803,273.351452
Water Cons. Green [BCM],North Africa and Middle East,SSP4,pessimistic,96.28770082,152.1052432,209.1709503,289.6432418
Water Cons. Green [BCM],North Africa and Middle East,SSP4,baseline,96.28770082,152.1052432,209.1709503,289.6432418
Water Cons. Green [BCM],North Africa and Middle East,SSP4,optimistic,114.0441316,175.4360543,236.9898235,323.2464042
Water Cons. Green [BCM],North Africa and Middle East,SSP5,pessimistic,106.8876857,201.2300526,409.9534803,497.3325576
Water Cons. Green [BCM],North Africa and Middle East,SSP5,baseline,106.8876857,201.2300526,409.9534803,497.3325576
Water Cons. Green [BCM],North Africa and Middle East,SSP5,optimistic,125.9339915,229.9908138,456.2340705,545.6698937
Water Cons. Green [BCM],Median,SSP1,pessimistic,105.0277537,191.2531526,353.7326402,439.3365469
Water Cons. Green [BCM],Median,SSP1,baseline,105.0277537,191.2531526,353.7326402,439.3365469
Water Cons. Green [BCM],Median,SSP1,optimistic,124.0904432,219.5827034,396.9848445,487.3504903
Water Cons. Green [BCM],Median,SSP2,pessimistic,100.6745629,161.7177236,281.1550077,434.5388572
Water Cons. Green [BCM],Median,SSP2,baseline,100.6745629,161.7177236,281.1550077,434.5388572
Water Cons. Green [BCM],Median,SSP2,optimistic,119.2319381,186.7067921,317.5892295,483.3753096
Water Cons. Green [BCM],Median,SSP3,pessimistic,98.51913138,148.8353268,197.4263614,249.201167
Water Cons. Green [BCM],Median,SSP3,baseline,98.51913138,148.8353268,197.4263614,249.201167
Water Cons. Green [BCM],Median,SSP3,optimistic,116.7759298,172.3389039,225.0500695,280.7229943
Water Cons. Green [BCM],Median,SSP4,pessimistic,96.90947172,151.1976384,210.2598964,295.4017492
Water Cons. Green [BCM],Median,SSP4,baseline,96.90947172,151.1976384,210.2598964,295.4017492
Water Cons. Green [BCM],Median,SSP4,optimistic,114.9688928,174.9454939,239.3120435,331.7708064
Water Cons. Green [BCM],Median,SSP5,pessimistic,105.7212523,198.2112642,385.3019293,475.4964929
Water Cons. Green [BCM],Median,SSP5,baseline,105.7212523,198.2112642,385.3019293,475.4964929
Water Cons. Green [BCM],Median,SSP5,optimistic,124.8622443,227.2735797,431.3915895,525.7923921
Fossil Fuels [EJ],Central Europe,SSP1,pessimistic,0.233546311,0.377111621,0.717848691,0.989990166
Fossil Fuels [EJ],Central Europe,SSP1,baseline,0.233546311,0.377111621,0.717848691,0.989990166
Fossil Fuels [EJ],Central Europe,SSP1,optimistic,0.201562941,0.331672319,0.642730151,0.893488292
Fossil Fuels [EJ],Central Europe,SSP2,pessimistic,0.23213963,0.335673522,0.589528521,0.963875952
Fossil Fuels [EJ],Central Europe,SSP2,baseline,0.23213963,0.335673522,0.589528521,0.963875952
Fossil Fuels [EJ],Central Europe,SSP2,optimistic,0.200281022,0.294179661,0.525845415,0.869347787
Fossil Fuels [EJ],Central Europe,SSP3,pessimistic,0.234973118,0.339230941,0.468329763,0.615576247
