Impact,Region,SSP,Approach,2020,2030,2040,2050
Water Cons. Green [BCM],North Africa and Middle East,SSP3,optimistic,16.27393586,25.5110124,33.69477423,42.67259745
Water Cons. Green [BCM],North Africa and Middle East,SSP4,pessimistic,13.96396985,23.24849315,33.43202114,46.97172979
Water Cons. Green [BCM],North Africa and Middle East,SSP4,baseline,13.96396985,23.24849315,33.43202114,46.97172979
Water Cons. Green [BCM],North Africa and Middle East,SSP4,optimistic,16.08725515,25.97671831,36.57360201,50.4954873
Water Cons. Green [BCM],North Africa and Middle East,SSP5,pessimistic,15.7311563,31.99508683,70.21350933,84.62721043
Water Cons. Green [BCM],North Africa and Middle East,SSP5,baseline,15.7311563,31.99508683,70.21350933,84.62721043
Water Cons. Green [BCM],North Africa and Middle East,SSP5,optimistic,18.0095675,35.44624311,76.07429525,90.54877701
Water Cons. Green [BCM],Median,SSP1,pessimistic,15.32533317,30.38649752,63.29822637,80.17869656
Water Cons. Green [BCM],Median,SSP1,baseline,15.32533317,30.38649752,63.29822637,80.17869656
Water Cons. Green [BCM],Median,SSP1,optimistic,17.60219927,33.81066699,69.001049,86.50740834
Water Cons. Green [BCM],Median,SSP2,pessimistic,14.35717001,25.59787246,47.66679455,76.65980525
Water Cons. Green [BCM],Median,SSP2,baseline,14.35717001,25.59787246,47.66679455,76.65980525
Water Cons. Green [BCM],Median,SSP2,optimistic,16.54800328,28.61508434,52.14201485,82.7380341
Water Cons. Green [BCM],Median,SSP3,pessimistic,13.82988482,22.60441608,30.8525163,40.38954712
Water Cons. Green [BCM],Median,SSP3,baseline,13.82988482,22.60441608,30.8525163,40.38954712
Water Cons. Green [BCM],Median,SSP3,optimistic,15.97386251,25.36723138,34.00724037,43.88597402
Water Cons. Green [BCM],Median,SSP4,pessimistic,13.65705484,22.95093144,33.57153931,48.24348926
Water Cons. Green [BCM],Median,SSP4,baseline,13.65705484,22.95093144,33.57153931,48.24348926
Water Cons. Green [BCM],Median,SSP4,optimistic,15.78567453,25.74319508,36.93979973,52.29897816
Water Cons. Green [BCM],Median,SSP5,pessimistic,15.41126036,31.99243279,70.43930686,84.60209442
Water Cons. Green [BCM],Median,SSP5,baseline,15.41126036,31.99243279,70.43930686,84.60209442
Water Cons. Green [BCM],Median,SSP5,optimistic,17.69576212,35.55308143,76.70294868,91.24567402
Fossil Fuels [EJ],Central Europe,SSP1,pessimistic,0.04629101,0.082345283,0.159965167,0.209885201
Fossil Fuels [EJ],Central Europe,SSP1,baseline,0.04629101,0.082345283,0.159965167,0.209885201
Fossil Fuels [EJ],Central Europe,SSP1,optimistic,0.039456733,0.072331737,0.143495553,0.189963556
Fossil Fuels [EJ],Central Europe,SSP2,pessimistic,0.045263731,0.070511249,0.135146943,0.212879207
Fossil Fuels [EJ],Central Europe,SSP2,baseline,0.045263731,0.070511249,0.135146943,0.212879207
Fossil Fuels [EJ],Central Europe,SSP2,optimistic,0.038528917,0.06160527,0.1208851,0.192704384
Fossil Fuels [EJ],Central Europe,SSP3,pessimistic,0.044897182,0.069362812,0.098105476,0.132308046
Fossil Fuels [EJ],Central Europe,SSP3,baseline,0.044897182,0.069362812,0.098105476,0.132308046
Fossil Fuels [EJ],Central Europe,SSP3,optimistic,0.038197859,0.060564317,0.087138757,0.118946428
Fossil Fuels [EJ],Central Europe,SSP4,pessimistic,0.044575504,0.069348675,0.100753787,0.156765592
Fossil Fuels [EJ],Central Europe,SSP4,baseline,0.044575504,0.069348675,0.100753787,0.156765592
Fossil Fuels [EJ],Central Europe,SSP4,optimistic,0.037907327,0.060551504,0.08955148,0.141335811
Fossil Fuels [EJ],Central Europe,SSP5,pessimistic,0.046187399,0.08619518,0.171705376,0.216936902
Fossil Fuels [EJ],Central Europe,SSP5,baseline,0.046187399,0.08619518,0.171705376,0.216936902
Fossil Fuels [EJ],Central Europe,SSP5,optimistic,0.039363154,0.075821315,0.15419138,0.196418955
Fossil Fuels [EJ],Central Latin America,SSP1,pessimistic,0.026128748,0.058898042,0.135595401,0.186661041
Fossil Fuels [EJ],Central Latin America,SSP1,baseline,0.026128748,0.058898042,0.135595401,0.186661041
Fossil Fuels [EJ],Central Latin America,SSP1,optimistic,0.021214702,0.050953138,0.120838593,0.167871192
Fossil Fuels [EJ],Central Latin America,SSP2,pessimistic,0.024350353,0.048602532,0.102205565,0.178759572
Fossil Fuels [EJ],Central Latin America,SSP2,baseline,0.024350353,0.048602532,0.102205565,0.178759572
Fossil Fuels [EJ],Central Latin America,SSP2,optimistic,0.019610326,0.041641507,0.090527205,0.16067221
Fossil Fuels [EJ],Central Latin America,SSP3,pessimistic,0.023199369,0.042542351,0.064173314,0.092374168
Fossil Fuels [EJ],Central Latin America,SSP3,baseline,0.023199369,0.042542351,0.064173314,0.092374168
Fossil Fuels [EJ],Central Latin America,SSP3,optimistic,0.018571967,0.036160461,0.056001421,0.08196698
Fossil Fuels [EJ],Central Latin America,SSP4,pessimistic,0.02285459,0.043078492,0.070210895,0.111994868
Fossil Fuels [EJ],Central Latin America,SSP4,baseline,0.02285459,0.043078492,0.070210895,0.111994868
Fossil Fuels [EJ],Central Latin America,SSP4,optimistic,0.018260925,0.036645366,0.061482353,0.099843284
Fossil Fuels [EJ],Central Latin America,SSP5,pessimistic,0.026305622,0.06238475,0.151123071,0.200583726
Fossil Fuels [EJ],Central Latin America,SSP5,baseline,0.026305622,0.06238475,0.151123071,0.200583726
Fossil Fuels [EJ],Central Latin America,SSP5,optimistic,0.021374269,0.054106643,0.134934655,0.180556068
Fossil Fuels [EJ],East Asia,SSP1,pessimistic,0.027221339,0.063152429,0.15158104,0.218233607
Fossil Fuels [EJ],East Asia,SSP1,baseline,0.027221339,0.063152429,0.15158104,0.218233607
Fossil Fuels [EJ],East Asia,SSP1,optimistic,0.02255476,0.056040591,0.139621015,0.20460598
Fossil Fuels [EJ],East Asia,SSP2,pessimistic,0.025381895,0.052300523,0.114627592,0.208500347
Fossil Fuels [EJ],East Asia,SSP2,baseline,0.025381895,0.052300523,0.114627592,0.208500347
Fossil Fuels [EJ],East Asia,SSP2,optimistic,0.020880357,0.046057902,0.105143716,0.195411012
Fossil Fuels [EJ],East Asia,SSP3,pessimistic,0.024191678,0.045824033,0.072419044,0.108783214
Fossil Fuels [EJ],East Asia,SSP3,baseline,0.024191678,0.045824033,0.072419044,0.108783214
Fossil Fuels [EJ],East Asia,SSP3,optimistic,0.01979693,0.040100167,0.065763446,0.101208659
Fossil Fuels [EJ],East Asia,SSP4,pessimistic,0.023834809,0.046397067,0.07917943,0.1313735
