,,,2020,2030,2040,2050
N2O [GtonCO2_eq],North Africa and Middle East,SSP2,0.005255399055713528,0.008151639158633966,0.010158395412965473,0.01431249275858387
N2O [GtonCO2_eq],North Africa and Middle East,SSP3,0.005465194680078312,0.007845808983695706,0.01039908863444558,0.014215155750148244
N2O [GtonCO2_eq],North Africa and Middle East,SSP4,0.005466529780854068,0.007823777898115437,0.010636586496690545,0.014284895344627306
N2O [GtonCO2_eq],North Africa and Middle East,SSP5,0.005159287406537963,0.00795022841433472,0.010597811310335357,0.016344182657828242
CO2_b [GtonCO2_eq],Central Europe,SSP1,0.016173936507612438,0.032447831794520626,0.050424529080944934,0.0744060432253269
CO2_b [GtonCO2_eq],Central Europe,SSP2,0.016419835562642243,0.029755274875874604,0.047505284954932996,0.06589290374506594
CO2_b [GtonCO2_eq],Central Europe,SSP3,0.016531897492553713,0.02669625576353906,0.04053497434572016,0.05527388551208158
CO2_b [GtonCO2_eq],Central Europe,SSP4,0.016503682530341943,0.02685602344577787,0.04209200865013092,0.06127475600217024
CO2_b [GtonCO2_eq],Central Europe,SSP5,0.0162196770905548,0.03311676837104648,0.05569703401783983,0.08696888575347668
CO2_b [GtonCO2_eq],Central Latin America,SSP1,0.007554391032001931,0.013067725803221582,0.018880301927239284,0.031179174562555336
CO2_b [GtonCO2_eq],Central Latin America,SSP2,0.007740204409941722,0.012233519622352723,0.017805519578108105,0.02722567884159123
CO2_b [GtonCO2_eq],Central Latin America,SSP3,0.007950498099731557,0.01111891780273139,0.015042202322372876,0.021788701013102624
CO2_b [GtonCO2_eq],Central Latin America,SSP4,0.00793479865053303,0.01114461456590018,0.01571922176158991,0.02499975141166793
CO2_b [GtonCO2_eq],Central Latin America,SSP5,0.007660005509405784,0.013406669866398376,0.021155079983453028,0.03442892016421254
CO2_b [GtonCO2_eq],East Asia,SSP1,0.016514788421717125,0.027353442960115985,0.03806028337471501,0.05158851172589937
CO2_b [GtonCO2_eq],East Asia,SSP2,0.016554837329393755,0.02569688209578964,0.03629930675439152,0.04748448269279031
CO2_b [GtonCO2_eq],East Asia,SSP3,0.016780154336640953,0.023424639582504084,0.031646477045418536,0.03930350527545054
CO2_b [GtonCO2_eq],East Asia,SSP4,0.01675898421882261,0.023610903465246233,0.03281840609847888,0.04456815533735005
